fecha_hecho,prediccion_delitos,alcaldia_hecho,delito
2024-09-30,1.3515788793745434,TLALPAN,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION
2024-10-01,1.3723385143334221,IZTAPALAPA,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION
2024-10-01,0.6195242424929044,GUSTAVO A. MADERO,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION
2024-09-29,0.625490106704384,BENITO JUAREZ,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION
2024-09-30,0.5039310474094623,COYOACAN,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION
2024-09-27,0.5019532032504801,MIGUEL HIDALGO,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION
2024-09-29,0.5002517705143408,AZCAPOTZALCO,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION
2024-09-27,0.6094399094877815,VENUSTIANO CARRANZA,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION
2024-09-30,0.754151115195925,IZTACALCO,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION
2024-09-28,0.5727939775211267,ALVARO OBREGON,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION
2024-10-01,0.5078875432094492,CUAUHTEMOC,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION
2024-09-21,0.5009784774206327,XOCHIMILCO,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION
2024-09-24,0.5722999984864188,FUERA DE CDMX,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION
2024-09-15,0.5012207068502903,LA MAGDALENA CONTRERAS,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION
2024-09-30,0.50293732062346,TLAHUAC,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION
2024-09-26,0.5004883110523228,MILPA ALTA,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION
2024-09-29,0.5000078715536422,CUAJIMALPA DE MORELOS,LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION
2024-09-29,1.6151470072573066,CDMX (INDETERMINADA),LESIONES CULPOSAS POR TRANSITO VEHICULAR EN COLISION
2018-12-19,0.500244140625,TLALPAN,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA
2018-12-27,0.515625104308357,IZTAPALAPA,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA
2018-12-20,0.5000200271679773,GUSTAVO A. MADERO,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA
2018-12-09,0.5000000037252903,BENITO JUAREZ,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA
2018-11-10,0.5000004768371582,COYOACAN,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA
2018-12-24,0.5000000037252903,MIGUEL HIDALGO,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA
2018-10-21,0.5,AZCAPOTZALCO,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA
2018-12-17,0.5010070801363327,VENUSTIANO CARRANZA,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA
2018-11-04,0.5000000000145555,IZTACALCO,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA
2018-12-14,0.5801391825082263,ALVARO OBREGON,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA
2018-12-24,0.5019531268627588,CUAUHTEMOC,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA
2018-12-31,0.5,XOCHIMILCO,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA
2017-08-29,0.5,FUERA DE CDMX,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA
2018-12-31,0.5,LA MAGDALENA CONTRERAS,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA
2017-11-18,0.5000000019790605,TLAHUAC,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA
2017-12-16,0.5,MILPA ALTA,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA
2018-08-06,0.5,CUAJIMALPA DE MORELOS,ROBO A PASAJERO A BORDO DE TAXI CON VIOLENCIA
2024-10-01,2.1079040275708447,TLALPAN,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-10-01,2.16078824867218,IZTAPALAPA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-10-01,1.0527055586382716,GUSTAVO A. MADERO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-10-01,0.7144275676294378,BENITO JUAREZ,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-10-01,2.8015471294212833,COYOACAN,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-10-01,2.326732004558421,MIGUEL HIDALGO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-10-01,1.982622339125506,AZCAPOTZALCO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-10-01,0.7264247128995034,VENUSTIANO CARRANZA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-09-28,0.5352288067921457,IZTACALCO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-10-01,1.3908092109735497,ALVARO OBREGON,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-10-01,5.27517174973465,CUAUHTEMOC,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-09-26,0.5201554160040587,XOCHIMILCO,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-09-24,0.5166016987259927,FUERA DE CDMX,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-10-01,2.00118699813902,LA MAGDALENA CONTRERAS,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-09-29,0.803947548248042,TLAHUAC,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-09-25,0.5041508935503884,MILPA ALTA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-09-22,0.5313720704582787,CUAJIMALPA DE MORELOS,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-08-14,0.5039063096046452,CDMX (INDETERMINADA),ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA
2024-09-30,0.7961812953193732,TLALPAN,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
2024-09-30,0.6541756744601226,IZTAPALAPA,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA
